filing_id,ticker,filed_at,form_type,text_path,source_path
bmy_10k_20220209_000001427222000051,BMY,2022-02-09,10-K,bmy_10k_20220209_000001427222000051.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/BMY/10-K/0000014272-22-000051/full-submission.txt
bmy_10q_20220429_000001427222000114,BMY,2022-04-29,10-Q,bmy_10q_20220429_000001427222000114.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/BMY/10-Q/0000014272-22-000114/full-submission.txt
bmy_10q_20220727_000001427222000166,BMY,2022-07-27,10-Q,bmy_10q_20220727_000001427222000166.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/BMY/10-Q/0000014272-22-000166/full-submission.txt
bmy_10q_20221026_000001427222000196,BMY,2022-10-26,10-Q,bmy_10q_20221026_000001427222000196.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/BMY/10-Q/0000014272-22-000196/full-submission.txt
bmy_10k_20230214_000001427223000046,BMY,2023-02-14,10-K,bmy_10k_20230214_000001427223000046.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/BMY/10-K/0000014272-23-000046/full-submission.txt
bmy_10q_20230427_000001427223000104,BMY,2023-04-27,10-Q,bmy_10q_20230427_000001427223000104.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/BMY/10-Q/0000014272-23-000104/full-submission.txt
bmy_10q_20230727_000001427223000152,BMY,2023-07-27,10-Q,bmy_10q_20230727_000001427223000152.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/BMY/10-Q/0000014272-23-000152/full-submission.txt
bmy_10q_20231026_000001427223000181,BMY,2023-10-26,10-Q,bmy_10q_20231026_000001427223000181.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/BMY/10-Q/0000014272-23-000181/full-submission.txt
gild_10k_20180227_000088209518000008,GILD,2018-02-27,10-K,gild_10k_20180227_000088209518000008.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/GILD/10-K/0000882095-18-000008/full-submission.txt
gild_10q_20180509_000088209518000015,GILD,2018-05-09,10-Q,gild_10q_20180509_000088209518000015.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/GILD/10-Q/0000882095-18-000015/full-submission.txt
gild_10q_20180806_000088209518000022,GILD,2018-08-06,10-Q,gild_10q_20180806_000088209518000022.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/GILD/10-Q/0000882095-18-000022/full-submission.txt
gild_10q_20181106_000088209518000029,GILD,2018-11-06,10-Q,gild_10q_20181106_000088209518000029.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/GILD/10-Q/0000882095-18-000029/full-submission.txt
gild_10k_20190226_000088209519000006,GILD,2019-02-26,10-K,gild_10k_20190226_000088209519000006.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/GILD/10-K/0000882095-19-000006/full-submission.txt
gild_10q_20190508_000088209519000014,GILD,2019-05-08,10-Q,gild_10q_20190508_000088209519000014.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/GILD/10-Q/0000882095-19-000014/full-submission.txt
gild_10q_20190806_000088209519000020,GILD,2019-08-06,10-Q,gild_10q_20190806_000088209519000020.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/GILD/10-Q/0000882095-19-000020/full-submission.txt
gild_10q_20191105_000088209519000027,GILD,2019-11-05,10-Q,gild_10q_20191105_000088209519000027.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/GILD/10-Q/0000882095-19-000027/full-submission.txt
gild_10k_20200225_000088209520000006,GILD,2020-02-25,10-K,gild_10k_20200225_000088209520000006.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/GILD/10-K/0000882095-20-000006/full-submission.txt
gild_10q_20200506_000088209520000013,GILD,2020-05-06,10-Q,gild_10q_20200506_000088209520000013.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/GILD/10-Q/0000882095-20-000013/full-submission.txt
gild_10q_20200806_000088209520000019,GILD,2020-08-06,10-Q,gild_10q_20200806_000088209520000019.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/GILD/10-Q/0000882095-20-000019/full-submission.txt
gild_10q_20201104_000088209520000027,GILD,2020-11-04,10-Q,gild_10q_20201104_000088209520000027.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/GILD/10-Q/0000882095-20-000027/full-submission.txt
gild_10k_20210225_000088209521000008,GILD,2021-02-25,10-K,gild_10k_20210225_000088209521000008.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/GILD/10-K/0000882095-21-000008/full-submission.txt
gild_10q_20210506_000088209521000013,GILD,2021-05-06,10-Q,gild_10q_20210506_000088209521000013.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/GILD/10-Q/0000882095-21-000013/full-submission.txt
gild_10q_20210805_000088209521000021,GILD,2021-08-05,10-Q,gild_10q_20210805_000088209521000021.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/GILD/10-Q/0000882095-21-000021/full-submission.txt
gild_10q_20211103_000088209521000029,GILD,2021-11-03,10-Q,gild_10q_20211103_000088209521000029.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/GILD/10-Q/0000882095-21-000029/full-submission.txt
gild_10k_20220223_000088209522000007,GILD,2022-02-23,10-K,gild_10k_20220223_000088209522000007.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/GILD/10-K/0000882095-22-000007/full-submission.txt
gild_10q_20220504_000088209522000013,GILD,2022-05-04,10-Q,gild_10q_20220504_000088209522000013.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/GILD/10-Q/0000882095-22-000013/full-submission.txt
gild_10q_20220808_000088209522000019,GILD,2022-08-08,10-Q,gild_10q_20220808_000088209522000019.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/GILD/10-Q/0000882095-22-000019/full-submission.txt
gild_10q_20221102_000088209522000027,GILD,2022-11-02,10-Q,gild_10q_20221102_000088209522000027.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/GILD/10-Q/0000882095-22-000027/full-submission.txt
gild_10k_20230222_000088209523000007,GILD,2023-02-22,10-K,gild_10k_20230222_000088209523000007.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/GILD/10-K/0000882095-23-000007/full-submission.txt
gild_10q_20230503_000088209523000017,GILD,2023-05-03,10-Q,gild_10q_20230503_000088209523000017.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/GILD/10-Q/0000882095-23-000017/full-submission.txt
gild_10q_20230804_000088209523000025,GILD,2023-08-04,10-Q,gild_10q_20230804_000088209523000025.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/GILD/10-Q/0000882095-23-000025/full-submission.txt
gild_10q_20231107_000088209523000031,GILD,2023-11-07,10-Q,gild_10q_20231107_000088209523000031.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/GILD/10-Q/0000882095-23-000031/full-submission.txt
jnj_10k_20180221_000020040618000005,JNJ,2018-02-21,10-K,jnj_10k_20180221_000020040618000005.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/JNJ/10-K/0000200406-18-000005/full-submission.txt
