date,ticker,open,high,low,close,volume,rsi,macd,macd_signal,macd_diff,bb_upper,bb_middle,bb_lower,bb_pct,bb_width,log_return,volume_sma20,volume_ratio,sent_pos,sent_neg,sent_neu,sent_net,n_filings,days_to_event,is_event_window,hist_1d_ret,hist_5d_ret,evt_ADCOM,evt_APPROVAL,evt_CRL,ta_Bone_Disease,ta_Cardiology,ta_Dermatology,ta_Immunology,ta_Infectious_Disease,ta_Neurology,ta_Oncology,ta_Psychiatry,ct_phase2_events_last_5d,ct_phase3_events_last_5d,ct_results_posted_last_5d,ct_terminated_last_20d,ct_events_last_20d,ct_confound_flag_5d
2020-08-04,BMY,47.50221141203896,48.05127372794568,47.25997432304853,48.01897811889648,6527600,53.5780168463912,0.0974507903778487,0.097557108756864,-0.0001063183790152,48.94079373511473,47.610411643981934,46.280029552849136,0.6535523056262218,5.588618309293534,0.0062604864707191,9442270.0,0.6913168125884983,-0.4427381830500119,-0.440163056749263,0.4457580307390465,0.38349122735139124,-0.12673780549554947,90,0,-2.5166666666666666,-8.68,0,1,0,0,0,0,0,0,0,1,0,3.0,0.0,1.0,2.0,13.0,1.0
2020-08-04,GILD,57.836898112228866,58.06978833974351,56.59214760547808,56.92140197753906,9799700,37.61016666658149,-0.9633288432983846,-0.467743978753784,-0.4955848645446006,63.857883518147446,60.12443180084229,56.39098008353713,0.0710363939545997,12.419083575448797,-0.0118499042153713,7877650.0,1.2439877374597754,-0.44273818305001134,-0.44016305674926254,0.4457580307390465,0.3834912273513911,-0.12673780549554947,79,0,0.42,-0.415,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,3.0,1.0
2020-08-04,JNJ,125.14422092568594,125.34003448486328,124.14810891898254,125.34003448486328,4162200,54.05887585580285,0.6250923153144328,0.8239204212580356,-0.1988281059436027,129.17645790428006,125.27703285217284,121.37760780006566,0.508078323323124,6.225283219644142,-0.0008821343259781,6150765.0,0.6766963133854081,-0.44273818305001233,-0.4401630567492639,0.4457580307390465,0.38349122735139285,-0.12673780549554947,90,0,0.54,-0.67,1,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-04,MRK,65.71239904262826,65.71239904262826,64.53427672708247,65.01189422607422,7218729,61.01304190626635,0.627651571715802,0.3586017658881822,0.2690498058276198,65.18081873695667,62.858633804321286,60.536448871685906,0.9636281097796244,7.388594985580929,-0.0105403928210512,8505421.25,0.8487209260799399,-0.44273818305001134,-0.4401630567492626,0.4457580307390465,0.38349122735139124,-0.12673780549554947,90,0,-0.825,-1.8074999999999997,0,1,0,0,0,0,0,0,0,1,0,12.0,2.0,2.0,3.0,34.0,1.0
2020-08-04,PFE,27.72599562103575,27.993774796525443,27.56677549209906,27.78389358520508,29448549,67.02745586562762,0.8409843026767554,0.7175057925378677,0.1234785101388876,29.175737906030445,26.452602195739747,23.72946648544905,0.7444408819645669,20.588792665012484,0.0010429791668742,35674237.45,0.8254850307949609,-0.44273818305001,-0.4401630567492609,0.4457580307390465,0.38349122735138924,-0.12673780549554947,90,0,1.705,-1.925,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,2.0,1.0
2020-08-05,ABBV,76.08087148268434,76.34663655702649,75.00170700397184,75.09835052490234,6918900,38.33206579596537,-0.2042128193219099,0.3712203449674404,-0.5754331642893503,81.42968555229002,78.29119987487793,75.15271419746584,-0.0086608125942323,8.017467307763585,-0.0110298609313788,6556360.0,1.0552959263981845,-0.4427381830500118,-0.44016305674926315,0.4457580307390465,0.38349122735139174,-0.12673780549554947,90,0,-0.1866666666666666,-0.1933333333333334,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,6.0,1.0
2020-08-05,AMGN,204.18174831860125,205.43742712586408,201.57830708060604,202.13917541503903,1736400,43.117764765697814,0.5223677193533831,2.4001008808762623,-1.8777331615228792,219.0712383695003,210.44590072631837,201.82056308313645,0.0184695570818881,8.19720185892244,-0.0087030550974738,2041690.0,0.8504719129740558,-0.4427381830500112,-0.4401630567492632,0.4457580307390465,0.38349122735139257,-0.12673780549554947,90,0,0.7300000000000001,0.7150000000000001,0,1,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2.0,1.0
2020-08-05,BIIB,276.6499938964844,278.6300048828125,274.42999267578125,276.1700134277344,903100,47.79207038978655,-0.7096673290948274,-0.664184254121358,-0.0454830749734694,285.4778709484866,278.9424987792969,272.4071266101072,0.2878861922636099,4.685820337732465,0.0003260897560395,1046425.0,0.8630336622309291,-0.44273818305001084,-0.44016305674926304,0.4457580307390465,0.3834912273513927,-0.12673780549554947,90,0,0.0,-24.42,1,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,1.0,2.0,1.0
2020-08-05,BMY,48.406551705274694,48.75375490362132,47.970528654303706,48.19661331176758,10662800,54.873520238433926,0.1316775617367156,0.1043811993528343,0.0272963623838812,48.95439582610836,47.61565971374512,46.276923601381874,0.716978384558894,5.623091732473856,0.003699270576547,9450060.0,1.1283314603293524,-0.44273818305001206,-0.44016305674926315,0.4457580307390465,0.38349122735139146,-0.12673780549554947,90,0,-2.5166666666666666,-8.68,0,1,0,0,0,0,0,0,0,1,0,3.0,0.0,1.0,2.0,12.0,1.0
2020-08-05,GILD,56.728658249019645,56.8651781826604,55.39557007732852,55.41162872314453,12271400,33.199651442254265,-1.1574262765739365,-0.6056804383178145,-0.5517458382561218,64.10496454059935,59.859017562866214,55.61307058513308,-0.0237216648070457,14.186490692981662,-0.0265238241143512,8176545.0,1.500805046630331,-0.4427381830500115,-0.44016305674926276,0.4457580307390465,0.38349122735139135,-0.12673780549554947,78,0,0.42,-0.415,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,3.0,1.0
