date,ppo_price_sentiment,buy_hold_equal,equal_weight_monthly,momentum_20d,xph
2022-09-02,989612.0404994201,987971.8169116285,988163.1928852752,1022718.516577266,902668.5605791715
2022-09-06,974072.1616542053,988544.7266364049,988442.8486847756,1014473.2365101433,895962.8775604265
2022-09-07,976702.1055018615,999062.8643326702,999740.6642426031,1036878.6568564902,916728.852512718
2022-09-08,982021.6359889221,1010762.1484780739,1012373.0944106885,1041839.6269818374,931221.7328537608
2022-09-09,989910.9620845031,1018610.6616635215,1020687.6328460464,1044720.1678369035,945282.024787307
2022-09-12,991823.3728205871,1024724.911301879,1027113.3219052205,1044283.050815987,955016.0863673966
2022-09-13,991405.0645625305,992805.3495417234,994425.0140056582,1007347.1638542194,925813.7284878815
2022-09-14,965644.6351802063,999507.9747365717,1001054.0228601642,1006339.8166903652,934682.6132529783
2022-09-15,985547.7380549621,1005285.1718648588,1006626.7277272048,1006339.8166903652,927544.5149659833
2022-09-16,988058.1941401672,1013738.4032778244,1015032.480448215,1016267.898464304,914133.1489284931
2022-09-19,1003119.9197566223,1006236.074305991,1008061.0554504644,1010095.2481164786,910053.6420013651
2022-09-20,995230.2903926086,994358.0350062997,995544.6478298913,996764.8014640126,902025.0019997583
2022-09-21,987400.6070887756,980533.7587507803,981216.7411343527,983297.4471104805,879241.3488378375
2022-09-22,977299.5443141174,998467.7239205604,998260.3294698722,994848.7870270589,887703.8757912896
2022-09-23,994632.6494013977,991873.6316707585,991329.936654887,990649.3314490292,863835.0724016387
2022-09-26,997860.1331507873,984612.1740712329,983983.0436131759,976535.0744181765,859061.190526236
2022-09-27,991763.8311183166,986051.3703126034,985852.4163894375,976428.3086252282,861448.0881791257
2022-09-28,987221.2743556213,1041186.6475782599,1049443.6481283882,996997.0563420322,884232.0010499164
2022-09-29,995708.5447108459,1027174.4599735327,1034061.5482481391,975597.5149150931,873165.4598284052
2022-09-30,984770.6632411194,1012401.5201472668,1019989.9971082326,956742.230917744,871429.479172907
2022-10-03,977777.7986323547,1020859.7180740945,1027704.0352033378,947504.296037429,879458.2923137601
2022-10-04,976821.4921748352,1038081.5592983941,1045552.5820478102,956705.6736872784,901808.0585238356
2022-10-05,991285.7789790344,1036455.5995953399,1043778.0717678448,950961.45138218,898336.1837824623
2022-10-06,988237.425783844,1023657.6073030632,1030455.4802590363,941305.6034415379,900289.1944835065
2022-10-07,969111.2966334533,1013842.0064272848,1020141.9411127832,929856.4176853775,882929.9073462636
2022-10-10,958891.0493647766,1015018.1940467436,1020795.3607173843,930262.9093971129,871212.6222666076
2022-10-11,960146.075228424,1032856.8994579136,1038629.8407215831,931275.7448815524,874684.4970079807
2022-10-12,974012.5188624572,1029662.0835935534,1035679.8994707254,929283.9371206717,873382.3167347044
2022-10-13,973773.4422480774,1057552.6136444705,1063257.7848063018,962804.1717550152,885750.9516598686
2022-10-14,988476.5023982238,1052541.279370562,1058296.89510672,955007.3081877423,881410.9567363113
2022-10-17,984352.4560725403,1065928.1457599576,1071603.8765123948,969639.2250713268,894430.4220892437
2022-10-18,997083.3616053772,1069031.3637564604,1074899.1179853578,971162.2130697527,904412.1593615179
2022-10-19,993616.7001521301,1054506.9068451046,1060120.5553455362,954514.1595306552,879458.2923137601
2022-10-20,985727.0707881164,1050603.172516873,1056412.746900417,950308.0160305756,870344.67522367
2022-10-21,988237.425783844,1078265.1594119805,1084756.3987828828,971354.5971583909,887052.8722242749
2022-10-24,1009754.2199885559,1100460.8546761058,1106905.1257913387,997632.0703054596,891392.6074389623
2022-10-25,1023321.8431269836,1099233.258279367,1105909.5669762637,995817.1743173201,901157.1415264441
2022-10-26,1021708.1517970276,1118119.9757574266,1124664.5631003277,1015047.1948079763,912440.626223878
2022-10-27,1030673.4742915344,1118854.7730524628,1124762.969769737,1016702.7128952863,899855.2209620378
