ticker,nct_id,trial_phase,study_status,lead_sponsor,interventions,source,date,event_type,event_date_source_col,is_inferred_status_date
BMY,NCT03502330,PHASE1,COMPLETED,Yale University,APX005M|Cabiralizumab|Nivolumab,clinicaltrials.gov_api_v2,2018-06-09,TRIAL_START,start_date,0
MRK,NCT03517449,PHASE3,COMPLETED,Eisai Inc.,Pembrolizumab|Lenvatinib|Paclitaxel|Doxorubicin,clinicaltrials.gov_api_v2,2018-06-11,TRIAL_START,start_date,0
ABBV,NCT05283694,PHASE1,COMPLETED,AbbVie,risankizumab|risankizumab,clinicaltrials.gov_api_v2,2018-06-12,PRIMARY_COMPLETION,primary_completion_date,0
ABBV,NCT05283694,PHASE1,COMPLETED,AbbVie,risankizumab|risankizumab,clinicaltrials.gov_api_v2,2018-06-12,STUDY_COMPLETION,completion_date,0
BMY,NCT02038946,PHASE2,COMPLETED,Bristol-Myers Squibb,Nivolumab,clinicaltrials.gov_api_v2,2018-06-12,RESULTS_POSTED,results_first_posted_date,0
BMY,NCT03557359,PHASE2,COMPLETED,"Fabio Iwamoto, MD",Nivolumab,clinicaltrials.gov_api_v2,2018-06-12,TRIAL_START,start_date,0
BMY,NCT03425461,PHASE1,TERMINATED,Jonsson Comprehensive Cancer Center,Anti-SEMA4D Monoclonal Antibody VX15/2503|Ipilimumab|Laboratory Biomarker Analysis|Nivolumab|Pharmacological Study,clinicaltrials.gov_api_v2,2018-06-14,TRIAL_START,start_date,0
BMY,NCT03558750,PHASE1,TERMINATED,Vanderbilt-Ingram Cancer Center,Nivolumab|Rituximab|Lenalidomide,clinicaltrials.gov_api_v2,2018-06-14,TRIAL_START,start_date,0
BMY,NCT03572582,PHASE2,COMPLETED,AIO-Studien-gGmbH,Nivolumab|TACE,clinicaltrials.gov_api_v2,2018-06-14,TRIAL_START,start_date,0
ABBV,NCT05305222,PHASE1,COMPLETED,AbbVie,Risankizumab|Placebo,clinicaltrials.gov_api_v2,2018-06-15,PRIMARY_COMPLETION,primary_completion_date,0
ABBV,NCT05305222,PHASE1,COMPLETED,AbbVie,Risankizumab|Placebo,clinicaltrials.gov_api_v2,2018-06-15,STUDY_COMPLETION,completion_date,0
MRK,NCT03547583,PHASE2,COMPLETED,Bayer,"Vericiguat (BAY1021189) 2.5 mg, 5 mg or 10 mg IR tablets|Placebo",clinicaltrials.gov_api_v2,2018-06-15,TRIAL_START,start_date,0
BMY,NCT03149159,PHASE2,WITHDRAWN,Medical University of South Carolina,Nivolumab|Ipilimumab|Steriotactic radiation therapy,clinicaltrials.gov_api_v2,2018-06-18,STATUS_WITHDRAWN,last_update_posted_date,1
MRK,NCT03197467,PHASE2,COMPLETED,AIO-Studien-gGmbH,Pembrolizumab,clinicaltrials.gov_api_v2,2018-06-18,TRIAL_START,start_date,0
MRK,NCT03347292,PHASE1,COMPLETED,Bayer,"Regorafenib(Stivarga, BAY73-4506)|Pembrolizumab",clinicaltrials.gov_api_v2,2018-06-18,TRIAL_START,start_date,0
MRK,NCT02335424,PHASE2,COMPLETED,Merck Sharp & Dohme LLC,pembrolizumab,clinicaltrials.gov_api_v2,2018-06-19,PRIMARY_COMPLETION,primary_completion_date,0
MRK,NCT03444376,PHASE1|PHASE2,COMPLETED,"Genexine, Inc.",GX-188E|KEYTRUDA®,clinicaltrials.gov_api_v2,2018-06-19,TRIAL_START,start_date,0
ABBV,NCT03000075,PHASE2,COMPLETED,AbbVie,risankizumab|placebo for risankizumab,clinicaltrials.gov_api_v2,2018-06-20,STUDY_COMPLETION,completion_date,0
BMY,NCT03624959,PHASE1,COMPLETED,Celgene,Ozanimod|Gemfibrozil|Itraconazole|Rifampin,clinicaltrials.gov_api_v2,2018-06-20,TRIAL_START,start_date,0
BMY,NCT02659059,PHASE2,COMPLETED,Bristol-Myers Squibb,Nivolumab|Ipilimumab|Platinum Doublet Chemotherapy,clinicaltrials.gov_api_v2,2018-06-22,PRIMARY_COMPLETION,primary_completion_date,0
