date,ticker,event_type,drug_name,therapeutic_area,outcome,source,application_type,active_ingredient,sponsor_raw,px_1d_ret_pct,px_5d_ret_pct,days_to_event,as_of_date
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,51,2020-11-25
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,49,2020-11-27
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,46,2020-11-30
2021-02-27,JNJ,ADCOM,Janssen COVID-19 Vaccine,Infectious Disease,POSITIVE,manual,,,,0.54,-0.67,89,2020-11-30
2021-02-27,JNJ,APPROVAL,Janssen COVID-19 Vaccine,Infectious Disease,APPROVED,manual,,,,0.54,-0.67,89,2020-11-30
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,45,2020-12-01
2021-02-27,JNJ,ADCOM,Janssen COVID-19 Vaccine,Infectious Disease,POSITIVE,manual,,,,0.54,-0.67,88,2020-12-01
2021-02-27,JNJ,APPROVAL,Janssen COVID-19 Vaccine,Infectious Disease,APPROVED,manual,,,,0.54,-0.67,88,2020-12-01
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,44,2020-12-02
2021-02-27,JNJ,ADCOM,Janssen COVID-19 Vaccine,Infectious Disease,POSITIVE,manual,,,,0.54,-0.67,87,2020-12-02
2021-02-27,JNJ,APPROVAL,Janssen COVID-19 Vaccine,Infectious Disease,APPROVED,manual,,,,0.54,-0.67,87,2020-12-02
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,43,2020-12-03
2021-02-27,JNJ,ADCOM,Janssen COVID-19 Vaccine,Infectious Disease,POSITIVE,manual,,,,0.54,-0.67,86,2020-12-03
2021-02-27,JNJ,APPROVAL,Janssen COVID-19 Vaccine,Infectious Disease,APPROVED,manual,,,,0.54,-0.67,86,2020-12-03
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,42,2020-12-04
2021-02-27,JNJ,ADCOM,Janssen COVID-19 Vaccine,Infectious Disease,POSITIVE,manual,,,,0.54,-0.67,85,2020-12-04
2021-02-27,JNJ,APPROVAL,Janssen COVID-19 Vaccine,Infectious Disease,APPROVED,manual,,,,0.54,-0.67,85,2020-12-04
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,39,2020-12-07
2021-02-27,JNJ,ADCOM,Janssen COVID-19 Vaccine,Infectious Disease,POSITIVE,manual,,,,0.54,-0.67,82,2020-12-07
2021-02-27,JNJ,APPROVAL,Janssen COVID-19 Vaccine,Infectious Disease,APPROVED,manual,,,,0.54,-0.67,82,2020-12-07
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,38,2020-12-08
2021-02-27,JNJ,ADCOM,Janssen COVID-19 Vaccine,Infectious Disease,POSITIVE,manual,,,,0.54,-0.67,81,2020-12-08
2021-02-27,JNJ,APPROVAL,Janssen COVID-19 Vaccine,Infectious Disease,APPROVED,manual,,,,0.54,-0.67,81,2020-12-08
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,37,2020-12-09
2021-02-27,JNJ,ADCOM,Janssen COVID-19 Vaccine,Infectious Disease,POSITIVE,manual,,,,0.54,-0.67,80,2020-12-09
2021-02-27,JNJ,APPROVAL,Janssen COVID-19 Vaccine,Infectious Disease,APPROVED,manual,,,,0.54,-0.67,80,2020-12-09
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,36,2020-12-10
2021-02-27,JNJ,ADCOM,Janssen COVID-19 Vaccine,Infectious Disease,POSITIVE,manual,,,,0.54,-0.67,79,2020-12-10
2021-02-27,JNJ,APPROVAL,Janssen COVID-19 Vaccine,Infectious Disease,APPROVED,manual,,,,0.54,-0.67,79,2020-12-10
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,35,2020-12-11
2021-02-27,JNJ,ADCOM,Janssen COVID-19 Vaccine,Infectious Disease,POSITIVE,manual,,,,0.54,-0.67,78,2020-12-11
2021-02-27,JNJ,APPROVAL,Janssen COVID-19 Vaccine,Infectious Disease,APPROVED,manual,,,,0.54,-0.67,78,2020-12-11
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,32,2020-12-14
2021-02-27,JNJ,ADCOM,Janssen COVID-19 Vaccine,Infectious Disease,POSITIVE,manual,,,,0.54,-0.67,75,2020-12-14
2021-02-27,JNJ,APPROVAL,Janssen COVID-19 Vaccine,Infectious Disease,APPROVED,manual,,,,0.54,-0.67,75,2020-12-14
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,31,2020-12-15
2021-02-27,JNJ,ADCOM,Janssen COVID-19 Vaccine,Infectious Disease,POSITIVE,manual,,,,0.54,-0.67,74,2020-12-15
2021-02-27,JNJ,APPROVAL,Janssen COVID-19 Vaccine,Infectious Disease,APPROVED,manual,,,,0.54,-0.67,74,2020-12-15
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,30,2020-12-16
2021-02-27,JNJ,ADCOM,Janssen COVID-19 Vaccine,Infectious Disease,POSITIVE,manual,,,,0.54,-0.67,73,2020-12-16
2021-02-27,JNJ,APPROVAL,Janssen COVID-19 Vaccine,Infectious Disease,APPROVED,manual,,,,0.54,-0.67,73,2020-12-16
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,29,2020-12-17
2021-02-27,JNJ,ADCOM,Janssen COVID-19 Vaccine,Infectious Disease,POSITIVE,manual,,,,0.54,-0.67,72,2020-12-17
2021-02-27,JNJ,APPROVAL,Janssen COVID-19 Vaccine,Infectious Disease,APPROVED,manual,,,,0.54,-0.67,72,2020-12-17
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,28,2020-12-18
2021-02-27,JNJ,ADCOM,Janssen COVID-19 Vaccine,Infectious Disease,POSITIVE,manual,,,,0.54,-0.67,71,2020-12-18
2021-02-27,JNJ,APPROVAL,Janssen COVID-19 Vaccine,Infectious Disease,APPROVED,manual,,,,0.54,-0.67,71,2020-12-18
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,25,2020-12-21
2021-02-27,JNJ,ADCOM,Janssen COVID-19 Vaccine,Infectious Disease,POSITIVE,manual,,,,0.54,-0.67,68,2020-12-21
2021-02-27,JNJ,APPROVAL,Janssen COVID-19 Vaccine,Infectious Disease,APPROVED,manual,,,,0.54,-0.67,68,2020-12-21
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,24,2020-12-22
2021-02-27,JNJ,ADCOM,Janssen COVID-19 Vaccine,Infectious Disease,POSITIVE,manual,,,,0.54,-0.67,67,2020-12-22
2021-02-27,JNJ,APPROVAL,Janssen COVID-19 Vaccine,Infectious Disease,APPROVED,manual,,,,0.54,-0.67,67,2020-12-22
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,23,2020-12-23
2021-02-27,JNJ,ADCOM,Janssen COVID-19 Vaccine,Infectious Disease,POSITIVE,manual,,,,0.54,-0.67,66,2020-12-23
2021-02-27,JNJ,APPROVAL,Janssen COVID-19 Vaccine,Infectious Disease,APPROVED,manual,,,,0.54,-0.67,66,2020-12-23
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,22,2020-12-24
2021-02-27,JNJ,ADCOM,Janssen COVID-19 Vaccine,Infectious Disease,POSITIVE,manual,,,,0.54,-0.67,65,2020-12-24
2021-02-27,JNJ,APPROVAL,Janssen COVID-19 Vaccine,Infectious Disease,APPROVED,manual,,,,0.54,-0.67,65,2020-12-24
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,18,2020-12-28
2021-03-26,BMY,APPROVAL,Breyanzi (lisocabtagene),Oncology,APPROVED,manual,,,,1.83,1.37,88,2020-12-28
2021-02-27,JNJ,ADCOM,Janssen COVID-19 Vaccine,Infectious Disease,POSITIVE,manual,,,,0.54,-0.67,61,2020-12-28
2021-02-27,JNJ,APPROVAL,Janssen COVID-19 Vaccine,Infectious Disease,APPROVED,manual,,,,0.54,-0.67,61,2020-12-28
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,17,2020-12-29
2021-03-26,BMY,APPROVAL,Breyanzi (lisocabtagene),Oncology,APPROVED,manual,,,,1.83,1.37,87,2020-12-29
2021-02-27,JNJ,ADCOM,Janssen COVID-19 Vaccine,Infectious Disease,POSITIVE,manual,,,,0.54,-0.67,60,2020-12-29
2021-02-27,JNJ,APPROVAL,Janssen COVID-19 Vaccine,Infectious Disease,APPROVED,manual,,,,0.54,-0.67,60,2020-12-29
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,16,2020-12-30
2021-03-26,BMY,APPROVAL,Breyanzi (lisocabtagene),Oncology,APPROVED,manual,,,,1.83,1.37,86,2020-12-30
2021-02-27,JNJ,ADCOM,Janssen COVID-19 Vaccine,Infectious Disease,POSITIVE,manual,,,,0.54,-0.67,59,2020-12-30
2021-02-27,JNJ,APPROVAL,Janssen COVID-19 Vaccine,Infectious Disease,APPROVED,manual,,,,0.54,-0.67,59,2020-12-30
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,15,2020-12-31
2021-03-26,BMY,APPROVAL,Breyanzi (lisocabtagene),Oncology,APPROVED,manual,,,,1.83,1.37,85,2020-12-31
2021-02-27,JNJ,ADCOM,Janssen COVID-19 Vaccine,Infectious Disease,POSITIVE,manual,,,,0.54,-0.67,58,2020-12-31
2021-02-27,JNJ,APPROVAL,Janssen COVID-19 Vaccine,Infectious Disease,APPROVED,manual,,,,0.54,-0.67,58,2020-12-31
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,11,2021-01-04
2021-03-26,BMY,APPROVAL,Breyanzi (lisocabtagene),Oncology,APPROVED,manual,,,,1.83,1.37,81,2021-01-04
2021-02-27,JNJ,ADCOM,Janssen COVID-19 Vaccine,Infectious Disease,POSITIVE,manual,,,,0.54,-0.67,54,2021-01-04
2021-02-27,JNJ,APPROVAL,Janssen COVID-19 Vaccine,Infectious Disease,APPROVED,manual,,,,0.54,-0.67,54,2021-01-04
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,10,2021-01-05
2021-03-26,BMY,APPROVAL,Breyanzi (lisocabtagene),Oncology,APPROVED,manual,,,,1.83,1.37,80,2021-01-05
2021-02-27,JNJ,ADCOM,Janssen COVID-19 Vaccine,Infectious Disease,POSITIVE,manual,,,,0.54,-0.67,53,2021-01-05
2021-02-27,JNJ,APPROVAL,Janssen COVID-19 Vaccine,Infectious Disease,APPROVED,manual,,,,0.54,-0.67,53,2021-01-05
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,9,2021-01-06
2021-03-26,BMY,APPROVAL,Breyanzi (lisocabtagene),Oncology,APPROVED,manual,,,,1.83,1.37,79,2021-01-06
2021-02-27,JNJ,ADCOM,Janssen COVID-19 Vaccine,Infectious Disease,POSITIVE,manual,,,,0.54,-0.67,52,2021-01-06
2021-02-27,JNJ,APPROVAL,Janssen COVID-19 Vaccine,Infectious Disease,APPROVED,manual,,,,0.54,-0.67,52,2021-01-06
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,8,2021-01-07
