date,PPO_PriceOnly,BuyHold_Equal,EqualWeight_Monthly,Momentum_20D,XPH,PPO_PriceSentiment,PPO_Phase5_BasicFDA,PPO_Phase5_RichFDA,PPO_Phase5_RichFDA_CT,PPO_Phase6_SEC
2022-04-26,1008259.3322217216,1037791.3318257814,1032768.759313674,1084767.6720078618,894346.4495546686,1098672.3966531372,904623.5532106592,1014089.7777489471,1015005.1602764892,1062196.7883273086
2022-04-27,999463.560531353,1038228.7927907904,1033110.8264328042,1083020.854093281,896285.1762678728,1090827.8243875122,891924.1037019922,997862.7288445282,1007316.5288449096,1047968.1093111952
2022-04-28,995862.0360181084,1045196.4107917408,1040220.4684100952,1091278.171412568,903824.4381891158,1075610.4943093872,889326.4846986963,998274.1292351532,1005572.2166806028,1051162.386242958
2022-04-29,1015498.0030667534,1019003.8058758016,1014560.8251951126,1068804.7637837229,889607.801515938,1083631.946457825,888893.5799593164,1010745.9876869963,1012907.18962677,1072010.8290530166
2022-05-02,998518.286704754,1015248.9436743635,1011065.1125426472,1059427.9707319112,892407.9825503342,1065937.5905007934,856856.278918667,985144.118576889,994159.73019989,1045346.5926028212
2022-05-03,992823.8900143852,1017679.4401965048,1013685.7597810643,1056483.2812987892,897146.8902979346,1055202.6998757934,870854.5696901514,988395.7131356047,986379.9353581236,1042724.9334689102
2022-05-04,992930.9180905572,1034170.323745712,1030363.16774677,1071195.085089316,905978.4635554006,1053138.258957825,871143.3422426416,986301.1758660126,989633.0048695372,1042413.5645266494
2022-05-05,1008796.5022732964,1021738.7956254028,1016508.60770343,1063948.6522401818,876899.1211105566,1064403.9913796997,896397.7279390527,1007472.9424523164,1004449.0602627562,1059578.1993075332
2022-05-06,994696.0637891043,1021884.8285489406,1015791.4373309732,1066450.7132388372,853204.8420814247,1044114.0494851684,885862.9926943016,992639.6893852996,990429.7264080808,1047556.4178439102
2022-05-09,996414.600562786,1017177.2399147118,1010918.92936221,1065573.2024425303,821756.3487564619,1041813.7013406372,883409.6964449121,984968.758660202,994758.3394184874,1041586.895566078
2022-05-10,996097.9136044732,1025085.2619601951,1019777.7127869934,1064507.629240088,839850.2657168016,1047476.1822976684,890625.3259615137,977388.8165291596,995654.982153015,1025831.2175265274
2022-05-11,999015.938995098,1021967.678005869,1015646.4194478344,1080156.1163406423,822402.67756382,1046060.4357156372,892068.3629335596,987226.3493431854,1000824.8055210876,1038712.7190981826
2022-05-12,997827.6247555962,1038719.1627414352,1033255.7056232848,1100017.6926950123,842434.8018196243,1040398.1569070434,874462.3844484522,975811.1515435028,1000151.5158634948,1040066.530346962
2022-05-13,1017535.4440915335,1035985.6406545346,1031139.8063578228,1095409.5280670994,865267.2802490712,1050661.030930481,902170.1299165918,989716.4784783171,1020047.4339657592,1057696.2877322158
2022-05-16,1012435.4236829032,1046584.3901988454,1040905.3117674903,1105838.814871779,879699.3021449528,1044644.7902078248,900582.7066683008,992152.720276718,1014307.784624176,1059676.783810707
2022-05-17,1023256.093635296,1056568.058887739,1051332.4501621106,1114908.9218832238,903393.4080348384,1051899.6954812622,898706.7014345361,997275.149765854,1025721.0161572264,1072752.7403841934
2022-05-18,1032295.1016614188,1041485.3258953448,1036113.6517706456,1097341.4774275478,875606.6366350874,1056264.282395325,912272.0239443016,1015106.775597458,1034658.0461483764,1079872.3354922256
2022-05-19,1020466.4484631768,1037241.3928156664,1032217.9140172484,1099270.2363172595,879914.6007980334,1036682.2643289184,912849.3149599266,999204.6120919036,1022937.440153198,1060818.0747958145
2022-05-20,1018471.4149243584,1051633.2464829942,1047750.8917087964,1127734.176264861,892407.9825503342,1027481.2760476684,913570.7381624414,989852.9603585053,1022732.0448933408,1055749.7885714492
2022-05-23,1036469.7876584282,1054326.682228331,1050422.9110189609,1129982.7998781106,891977.03896568,1045411.6403054808,921796.499911709,1002027.9170082856,1041803.639410095,1069056.1064578018
2022-05-24,1044591.2456357232,1064597.579816387,1060962.7093249366,1141092.1268669378,879914.6007980334,1066722.0275125122,919198.8809084132,1003924.855133896,1049808.4113941954,1062649.115841957
2022-05-25,1055065.626006817,1067089.4513528806,1063715.0957634114,1143552.88184016,884868.8937683377,1078356.8829812622,929156.4521822168,1013615.6728218842,1060601.3071575926,1073084.8122073135
2022-05-26,1051765.2088849298,1064680.5398381995,1061688.358561935,1136518.8403387703,894992.8649316499,1067790.685227356,938681.1187166406,1017136.5859612274,1059669.1453038023,1075736.681881996
2022-05-27,1045134.6237179984,1066283.1434712757,1063938.127315118,1140444.337841966,912655.6651680886,1066840.991867981,930888.2617067528,1019009.9895256804,1055750.9609013365,1067741.1462374649
2022-05-31,1051856.7177350274,1055311.4550330006,1052752.6371566022,1136806.8416734743,905116.7495253388,1076516.7257546997,935650.4044069482,1014340.289444809,1062040.5857373043,1072435.148373695
2022-06-01,1042908.027503704,1046729.8759509936,1044383.9891857484,1126652.5763205255,891331.0564368151,1067256.5079812622,936371.8911318016,1002761.284165268,1054820.735921936,1053199.194836708
2022-06-02,1034166.8027951468,1040124.3416809876,1037695.9483810004,1113662.838453001,902316.2222124494,1056452.7858132934,935217.4996675684,999457.9870766448,1044408.1013775632,1045607.3466616592
2022-06-03,1025244.5614087334,1042361.8374609824,1040321.2924580636,1117522.7111534453,907701.4587674078,1053128.555832825,916312.6163973048,992142.1332634736,1034983.1238270568,1040162.770466896
2022-06-06,1025015.2822720757,1035967.674601159,1033219.2397070256,1105093.2742807472,901024.1705850963,1048795.200852356,916168.3571657372,995309.4177025604,1036160.8756047057,1043400.499173256
2022-06-07,1019861.5926434746,1048690.0998095502,1046092.2420682594,1118063.9448916663,921271.853202851,1048676.5397195434,895676.1141695215,984794.8876274872,1030580.2180805968,1037116.9905672988
2022-06-08,1029526.4511487236,1046523.0027990354,1044930.3783428668,1123744.89175299,912871.136960416,1060192.5319070434,903035.8758730128,1000112.9998787688,1039730.6758862304,1051588.2841921768
2022-06-09,1022006.7904278984,1027175.2576639858,1024927.4825208788,1098042.1060735637,890469.25583713,1053900.3585671997,900727.092944546,1003919.788575058,1032532.8915539548,1054124.1310549695
2022-06-10,1001062.9269635428,1012832.7625415318,1009980.9062874845,1074070.4708988497,868713.8766604485,1032708.4303445434,883409.6964449121,991520.3025978853,1011024.1451283264,1031977.4509707412
2022-06-13,989284.4517438164,989376.04570162,986076.3236025756,1043636.4275466232,833603.4017014048,1025822.1902644348,877059.9399294092,978289.40170372,997166.2537976071,1016667.4385806044
2022-06-14,966733.2632367364,983950.2994561268,981086.8271855308,1042592.7911190768,830372.3636519776,1015491.9576441956,854114.5399896126,955205.8602265168,974138.7326527404,990265.603657814
