filing_id,date,ticker,form_type,sec_emb_000,sec_emb_001,sec_emb_002,sec_emb_003,sec_emb_004,sec_emb_005,sec_emb_006,sec_emb_007,sec_emb_008,sec_emb_009,sec_emb_010,sec_emb_011,sec_emb_012,sec_emb_013,sec_emb_014,sec_emb_015,sec_emb_016,sec_emb_017,sec_emb_018,sec_emb_019,sec_emb_020,sec_emb_021,sec_emb_022,sec_emb_023,sec_emb_024,sec_emb_025,sec_emb_026,sec_emb_027,sec_emb_028,sec_emb_029,sec_emb_030,sec_emb_031,sec_emb_032,sec_emb_033,sec_emb_034,sec_emb_035,sec_emb_036,sec_emb_037,sec_emb_038,sec_emb_039,sec_emb_040,sec_emb_041,sec_emb_042,sec_emb_043,sec_emb_044,sec_emb_045,sec_emb_046,sec_emb_047,sec_emb_048,sec_emb_049,sec_emb_050,sec_emb_051,sec_emb_052,sec_emb_053,sec_emb_054,sec_emb_055,sec_emb_056,sec_emb_057,sec_emb_058,sec_emb_059,sec_emb_060,sec_emb_061,sec_emb_062,sec_emb_063
gild_10q_20221102_000088209522000027,2022-11-02,GILD,10-Q,8.1026,-1.2236555,-1.183569,-0.9734037,0.6742852,0.091688156,-0.34150118,-0.35625333,-0.21816297,-0.15144455,-0.015573889,0.009062052,-0.0107040405,-0.016492456,0.035328627,-0.0012054443,-0.0439623,0.020762399,0.009587288,0.060001194,0.0055983365,0.022593528,-0.022213697,0.018944502,-0.037091672,0.026281774,-0.0015484095,-0.055313468,-0.010976553,0.0753746,-0.021836966,0.025350332,0.057961702,0.054090142,0.082475185,-0.030915737,0.048679397,-0.00547266,0.060016334,-0.021147817,0.026210338,0.05168134,-0.03360331,-0.014221787,0.0045387745,-0.027127013,-0.01777643,0.03280568,0.011993051,-0.019429922,0.051209778,-0.045795336,0.11160809,-0.046042383,0.012892246,-0.0029609501,-0.026793718,0.0040623248,-0.034634292,-0.05203241,0.011724234,0.0153410435,0.024580061,-0.0043214113
gild_10k_20230222_000088209523000007,2023-02-22,GILD,10-K,-3.8592649,-2.061216,-1.6757311,-0.46449637,-1.834744,-0.35138154,0.7138634,-0.28570384,-0.032558,0.12205303,-0.47975087,-0.070103884,0.10618091,0.00816825,0.043286324,-0.47736263,0.14905864,0.037841514,-0.09594917,-0.13098222,-0.017257899,0.09416813,0.043305278,0.14841008,0.04619956,0.07237929,0.12339878,0.10023904,-0.07061601,-0.0533756,-0.15092644,0.027059793,-0.01848334,-0.14123726,0.056691647,-0.04773736,0.11767755,-0.025946617,-0.05368781,-0.03506303,-0.0015570521,-0.046076477,0.07678318,0.05614835,0.103291154,-0.003710404,-0.07079971,0.03986752,-0.033002257,0.071516484,0.194233,0.022261463,-8.863211e-05,0.0925495,-0.019321322,0.04768157,0.11020064,0.0063105226,0.015240073,0.046464205,0.019405931,0.022651672,-0.07019287,-0.07639922
gild_10q_20230503_000088209523000017,2023-05-03,GILD,10-Q,8.1004715,-1.2441962,-1.1812356,-0.94241333,0.7660223,0.10581517,-0.3662607,-0.3939283,-0.21926418,-0.12156844,0.024143264,-0.026829243,-0.011824369,-0.06524721,-0.003105402,0.031379223,-0.048650146,-0.0024776459,-0.025732756,0.0060322285,0.03939578,0.0037086606,-0.08440608,0.0461483,-0.0375458,-0.057311714,0.055745363,-0.15364027,-0.19081366,0.12018061,0.03926862,-0.0020480156,0.0014958382,-0.012352943,-0.03984523,-0.013688803,0.017413378,-0.015550852,0.029817343,-0.052422896,0.059465922,0.01032877,-0.04248464,0.0048749447,0.028152347,0.020367369,0.047133446,0.01158762,-0.008447051,-0.012764573,0.008133173,-0.02084662,0.043910205,-0.01632142,0.08714461,-0.0019939244,-0.041434765,-0.034534037,-0.03169948,-0.024169505,0.04227805,0.041347623,-0.0045865774,0.044770762
gild_10q_20230804_000088209523000025,2023-08-04,GILD,10-Q,8.1026,-1.2236555,-1.183569,-0.9734037,0.6742852,0.091688156,-0.34150118,-0.35625333,-0.21816297,-0.15144455,-0.015573889,0.009062052,-0.0107040405,-0.016492456,0.035328627,-0.0012054443,-0.0439623,0.020762399,0.009587288,0.060001194,0.0055983365,0.022593528,-0.022213697,0.018944502,-0.037091672,0.026281774,-0.0015484095,-0.055313468,-0.010976553,0.0753746,-0.021836966,0.025350332,0.057961702,0.054090142,0.082475185,-0.030915737,0.048679397,-0.00547266,0.060016334,-0.021147817,0.026210338,0.05168134,-0.03360331,-0.014221787,0.0045387745,-0.027127013,-0.01777643,0.03280568,0.011993051,-0.019429922,0.051209778,-0.045795336,0.11160809,-0.046042383,0.012892246,-0.0029609501,-0.026793718,0.0040623248,-0.034634292,-0.05203241,0.011724234,0.0153410435,0.024580061,-0.0043214113
gild_10q_20231107_000088209523000031,2023-11-07,GILD,10-Q,8.09864,-1.1664665,-1.1394874,-0.96454835,0.6355586,0.11570883,-0.32932588,-0.39603233,-0.21511778,-0.11288512,-0.023338303,-0.057955265,0.0073330402,-0.023727268,0.0020196438,0.005823612,-0.048447132,0.020051941,-0.02695322,0.017066121,0.008900046,-0.00091838837,-0.038125455,0.035383463,-0.09011471,-0.06600082,0.012572527,-0.07192075,-0.060042143,0.07643986,0.013995536,0.033088923,0.0019298792,0.038473487,0.06089115,-0.010488749,0.05981496,0.002440691,0.060365677,-0.023881406,0.03953497,0.037223637,-0.051758647,-0.016706109,0.05985427,-0.004814282,0.021674931,0.0076795816,0.010296345,-0.028454632,-0.018857539,0.0131897405,0.0022698045,0.0077177286,0.018925369,-0.029493093,-0.06640518,-0.057997346,-0.011758983,-0.0052705407,0.08316928,0.053535104,-0.01760459,0.010641009
jnj_10k_20180221_000020040618000005,2018-02-21,JNJ,10-K,-4.6004043,-1.3389416,-1.2147505,1.4710152,-0.8214648,-1.0964228,-1.5191684,0.45668188,-0.82855654,-0.19466221,0.8043887,0.5525837,-0.1367538,-0.075157136,0.21901703,0.4553628,0.27550358,0.09907894,-0.15129733,1.0021207,0.21484171,-0.50041324,-0.37048328,0.17060733,-0.2800945,0.19403702,0.25529373,0.3474989,-0.25954807,-0.27451044,0.0081194565,0.11241627,-0.009611011,-0.015526414,-0.05649841,0.12395537,0.009678289,0.0036511421,0.08336586,0.030261189,0.12757415,-0.035114825,-0.08024204,-0.010165155,0.04002309,0.010516286,-0.041053712,0.041012168,-0.03509903,0.02441597,0.0085867345,-0.02620402,-0.0076575875,-0.024744928,0.016026914,0.02984026,-0.07934761,0.021582484,0.03778857,-0.036849618,-0.02496308,0.0366683,-0.033068657,-0.0102066845
jnj_10q_20180501_000020040618000019,2018-05-01,JNJ,10-Q,-4.15405,1.2119899,1.1153014,0.6114428,0.10796118,0.75248504,-2.2179441,0.40472725,-0.7765173,0.41560882,0.15326025,0.0738287,-0.20371175,-0.25102168,0.29593706,-0.3172953,0.07878786,-0.15387046,0.31588793,-0.0007006526,-0.30944526,-0.29654068,0.12339878,0.28272247,-0.041156054,0.017644167,0.009328485,0.18451977,-0.14577162,0.13642406,0.12227671,-0.10765302,-0.19658482,0.02054751,-0.022845387,0.18279088,0.12364587,-0.16053522,-0.058921218,-0.04347828,-0.16479987,0.07554251,0.0489105,0.025506556,-0.20499456,-0.17177789,0.033302903,-0.15037811,0.007372856,-0.011851281,0.1470421,-0.058963925,-0.046887875,0.013064921,-0.034530938,-0.1059739,-0.032233953,-0.002005428,0.051415086,0.016367316,0.05283901,-0.015450001,-0.046417475,-0.021950275
jnj_10q_20180802_000020040618000041,2018-08-02,JNJ,10-Q,-3.807824,2.6982417,2.3660283,0.19963813,0.8429365,1.0451984,-2.0165732,0.8839023,-1.4829199,-0.053656578,0.17114882,0.64097595,0.26579392,-0.6710745,0.07217479,-0.03000784,-0.27031922,0.45885247,0.3969133,-0.3073154,-0.46936536,0.031835705,-0.25220817,0.007385969,0.34827995,-0.2795165,0.20136845,-0.14988351,0.25309324,0.06870258,-0.09624191,-0.01577568,0.049441934,-0.028020978,-0.050816655,-0.121839166,0.08227383,0.07778561,0.064223945,-0.002634555,0.014328897,-0.0139039755,-0.01733768,0.020065129,0.06766653,0.047946446,-0.03239274,0.03855002,-0.039532542,0.03757462,-1.218915e-05,0.055208214,0.017567098,0.029870272,-0.018741786,0.02047941,-0.024285913,-0.023107767,-0.041349888,0.054313183,-0.035654813,-0.009655118,0.04039377,-0.0052446276
jnj_10q_20181031_000020040618000055,2018-10-31,JNJ,10-Q,-3.8149977,2.818719,2.3888726,0.12556577,0.85682607,0.9495392,-1.9973993,0.8707336,-1.4884533,-0.12599123,0.16824861,0.62093854,0.32533205,-0.6773309,0.035705566,0.011987925,-0.31653607,0.5115312,0.4392557,-0.3377204,-0.46136975,0.06168905,-0.24570078,-0.030347109,0.35683012,-0.289827,0.19743633,-0.14191937,0.23582757,0.07842958,-0.09286067,-0.022349834,0.050902188,-0.043011427,-0.0008479357,-0.09498024,0.067564525,0.068606615,0.0133366585,-0.010624647,0.025773987,-0.007240355,-0.019603372,-0.0025223494,0.10605776,0.08253533,-0.040922582,0.060554743,-0.0020781755,0.047129363,-0.02490437,0.07592436,-0.014639735,0.027911782,0.020671308,0.015037268,-0.025932312,0.0028083324,-0.04707098,0.039415836,-0.048692897,-0.0079472065,0.010682225,0.0007060617
jnj_10k_20190220_000020040619000009,2019-02-20,JNJ,10-K,-4.5454803,-1.2551718,-1.331145,1.4692962,-0.64549303,-1.0918725,-1.3773059,0.44997868,-0.83453333,-0.2701347,0.8049974,0.6201799,-0.04468155,-0.096993536,0.16091967,0.4438851,0.3288406,0.0048479736,-0.193079,0.9495585,0.16140844,-0.43072385,-0.5740341,0.12353468,-0.22024262,0.107717454,0.31540132,0.25383514,-0.14167762,-0.26077294,-0.09356715,0.30528045,-0.079752505,-0.09391868,0.05803144,0.019570708,-0.11248268,-0.015577078,0.08781999,-0.07572693,0.099277236,-0.048630774,0.014621496,-0.061512828,0.046494603,0.080015354,-0.042835593,0.0037994385,0.064983726,0.0136350095,-0.020308018,0.026148334,0.035894513,0.15030858,-0.043767393,0.0005277395,0.0693537,4.568696e-05,-0.04212022,0.03283465,0.00085039437,-0.057554483,0.012543976,0.0068649203
jnj_10q_20190501_000020040619000033,2019-05-01,JNJ,10-Q,-4.360624,1.5356274,1.4207201,0.9193709,0.44384575,0.6485617,-2.4731543,0.5913243,-1.0695536,0.3353696,0.22990026,0.21212554,-0.07841802,-0.37969577,0.22880936,-0.109377146,-0.118645996,-0.0039019883,0.27190256,-0.14101148,-0.4305998,-0.18832022,0.10371953,0.41859162,0.0058986545,0.07633692,-0.005865097,0.23790693,-0.14253688,0.16198361,0.11410347,-0.13968575,-0.106503606,0.028817296,-0.06351137,0.13471687,0.14251281,-0.09771669,-0.066016555,-0.04178226,-0.12432802,0.14056313,0.06198752,0.017020702,-0.14750397,-0.18287729,0.05288148,-0.02664733,0.057293773,-0.040036067,0.056226104,-0.09785785,-0.083610654,-0.013059616,0.03546995,-0.018968463,0.03758216,-0.03954822,0.027658701,0.0038717985,0.022831798,0.041771412,0.01236707,-0.02467008
jnj_10q_20190729_000020040619000053,2019-07-29,JNJ,10-Q,-3.3725092,-0.1613524,-1.7330631,4.972604,1.807475,0.033889294,-2.7992053,-0.9700884,2.5990257,-0.7052343,-0.24865425,0.030390501,-0.10855007,0.23422438,-0.4094894,-0.08121657,-0.03651154,0.2137513,-0.117560625,-0.065585256,-0.06645557,0.0635269,-0.015062153,0.033136368,0.24201751,-0.0058591366,-0.009613514,-0.07755661,0.012696981,-0.036870718,-0.03167461,0.032808542,-0.040224075,0.0404613,-0.08599663,0.0671196,0.032918036,-0.024333715,-0.023378134,0.1391719,0.037215628,-0.015161872,-0.022153735,0.031036317,-0.10501933,0.2593008,0.14006871,0.11782527,0.09647381,0.013419926,-0.071316674,0.0059992,0.06984645,-0.081611395,-0.26088607,0.022619307,0.08616817,-0.1202693,0.21366471,-0.038272023,0.09502137,0.0784924,-0.037116587,0.03669189
jnj_10q_20191028_000020040619000066,2019-10-28,JNJ,10-Q,-3.3431365,-0.17472959,-1.6321609,4.8352795,1.2542317,-0.097762585,-2.8274581,-0.9994193,2.754632,-0.7663716,-0.36919796,0.041832447,-0.034656763,0.24886262,-0.25551403,-0.22704124,0.13349718,0.15610541,-0.12725806,-0.025798917,-0.008487135,0.016890615,0.005126357,-0.011855125,-0.03764558,-0.058407485,-0.007466078,-0.08728325,0.05492556,-0.007982492,-0.03138648,-0.012321711,0.010723352,-0.011179686,0.051002026,-0.050274014,0.0005311668,0.024707079,0.005644262,-0.058703348,-0.0025318414,-0.013740182,0.004350066,-0.0062350035,0.07212722,-0.1380602,-0.07380515,-0.06610179,-0.05600655,-0.006620556,0.043630302,-0.000113904476,-0.039554477,0.04674524,0.124715805,-0.0028375387,-0.031065226,0.05498591,-0.10373348,0.019204974,-0.05137655,-0.0387944,0.017607927,-0.019301742
jnj_10k_20200218_000020040620000010,2020-02-18,JNJ,10-K,-6.326624,1.8526592,-0.6386366,-1.949806,1.5111917,-0.18866014,-0.6075166,0.31239307,-0.01169499,-0.3427732,0.6282994,0.0049374104,0.5750408,-0.35759407,0.21693683,0.46026444,0.41028708,-0.30611405,0.33065534,0.5331244,0.11821461,-0.115712464,0.20081222,0.03257513,0.4831641,-0.63345176,-0.32237124,-0.094955444,-0.10298765,-0.071179986,-0.05460587,0.06300902,0.18199623,-0.16861868,0.0728389,-0.042434216,-0.04658453,0.078553796,-0.007001877,0.23448747,-0.11688858,0.013132274,-0.13058603,0.028567493,-0.15310538,-0.08091843,-0.00469923,-0.022633672,-0.042897582,-0.22652131,-0.053805217,0.06283468,-0.03371519,-0.03550464,-0.084659874,0.042023867,0.025382996,-0.062445223,-0.031264305,-0.087640285,0.022910744,-0.13423479,0.05443585,0.03541948
jnj_10q_20200429_000020040620000035,2020-04-29,JNJ,10-Q,-3.3431365,-0.17472959,-1.6321609,4.8352795,1.2542317,-0.097762585,-2.8274581,-0.9994193,2.754632,-0.7663716,-0.36919796,0.041832447,-0.034656763,0.24886262,-0.25551403,-0.22704124,0.13349718,0.15610541,-0.12725806,-0.025798917,-0.008487135,0.016890615,0.005126357,-0.011855125,-0.03764558,-0.058407485,-0.007466078,-0.08728325,0.05492556,-0.007982492,-0.03138648,-0.012321711,0.010723352,-0.011179686,0.051002026,-0.050274014,0.0005311668,0.024707079,0.005644262,-0.058703348,-0.0025318414,-0.013740182,0.004350066,-0.0062350035,0.07212722,-0.1380602,-0.07380515,-0.06610179,-0.05600655,-0.006620556,0.043630302,-0.000113904476,-0.039554477,0.04674524,0.124715805,-0.0028375387,-0.031065226,0.05498591,-0.10373348,0.019204974,-0.05137655,-0.0387944,0.017607927,-0.019301742
jnj_10q_20200724_000020040620000050,2020-07-24,JNJ,10-Q,-0.8010366,-4.764118,7.4023046,0.6036699,1.5101058,-1.1814824,0.61978495,0.1858415,-0.09860593,-0.31194782,0.47050256,-0.09024048,-0.3309071,-0.31280464,-0.561959,-0.47482848,0.12150633,-0.068969145,-0.042223692,0.053895116,0.14566742,-0.038609922,0.042123318,0.09663749,-0.004753411,0.03736204,-0.14233398,-0.05869317,0.057661295,-0.04743266,-0.046160415,0.0052096844,-0.01990968,0.039318204,-0.022207022,-0.042982936,-0.00888592,-0.10792327,0.075698316,-0.043850303,0.020752281,-0.04269272,0.010753274,-0.06789303,0.03083074,-0.00996241,-0.0043964386,-0.041176915,0.03129351,-0.05863902,0.034198314,0.077785306,0.0017412901,-0.07991123,0.048226,-0.09656882,-0.013447285,-0.19022748,0.10540593,0.09062624,-0.08063823,0.024953723,0.07532483,0.0716757
jnj_10q_20201023_000020040620000056,2020-10-23,JNJ,10-Q,-0.696573,-4.7536707,7.5500326,0.627774,1.5829273,-1.122753,0.66543067,0.16958806,-0.12620007,-0.24916506,0.47000498,-0.16903877,-0.32995534,-0.3713858,-0.58226097,-0.4756801,0.19764316,-0.04690668,-0.06258297,0.07614839,0.15260045,-0.06718665,0.05764669,0.110492945,-0.03610748,0.15500325,-0.09922576,-0.053160906,0.055371523,-0.05532801,-0.029842108,0.006855488,0.0844689,0.024207711,-0.063001394,0.015270352,0.04528001,-0.01456666,0.00523746,-0.03845966,0.078560576,0.03989178,-0.018550992,-0.065556824,0.09110248,-0.0682835,-0.025315166,0.01848054,0.07116616,0.008840263,-0.009523541,0.059832215,0.015826821,-0.14981627,0.14562213,-0.06665969,-0.08185661,-0.15523243,0.1288985,0.0151385665,-0.13016799,-0.13167202,-0.036588788,-0.05134356
jnj_10k_20210222_000020040621000008,2021-02-22,JNJ,10-K,-5.982436,1.327991,-1.0352577,-2.5018559,1.1388259,-0.29570556,0.016046047,-0.14940113,0.8518481,-0.17456031,0.4487676,-0.2754283,0.5410893,-0.31800112,0.23136067,0.5523422,0.70870376,-0.87291735,0.3789432,0.57619524,0.40127748,-0.0062562823,0.15406507,-0.054094315,0.1755271,-0.5166354,-0.31445205,-0.27360618,0.16172564,0.08786714,0.05856095,0.1474247,0.3003416,-0.14416695,-0.04368329,0.07301068,0.07444706,-0.031309247,-0.19497174,0.07420504,-0.12890851,-0.06895691,0.00068318844,-0.009573221,0.10528493,-0.051307857,0.061447024,0.08515775,0.035480022,0.18507329,0.09653011,-0.055867553,0.03154248,0.029168427,0.10335064,-0.089117885,-0.025229335,0.023074657,0.08176601,0.062928915,0.005333945,0.06533909,-0.061921358,-0.0381632
